AFA,20167,AA001,VECT
AJACCIO,20000,AA004,VECT
ALATA,20167,AA006,VECT
ALBITRECCIA,20166,AA008,VECT
ALTAGENE,20112,AA011,VECT
AMBIEGNA,20151,AA014,VECT
APPIETTO,20167,AA017,VECT
ARBELLARA,20110,AA018,VECT
ARBORI,20160,AA019,VECT
ARGIUSTA-MORICCIO,20140,AA021,IMAG
ARRO,20151,AA022,VECT
AULLENE,20116,AA024,VECT
AZILONE-AMPAZA,20190,AA026,VECT
AZZANA,20121,AA027,VECT
BALOGNA,20160,AA028,VECT
BASTELICA,20119,AA031,VECT
BASTELICACCIA,20129,AA032,VECT
BELVEDERE CAMPOMORO,20110,AA035,VECT
BILIA,20100,AA038,VECT
BOCOGNANO,20136,AA040,VECT
BONIFACIO,20169,AA041,VECT
CALCATOGGIO,20111,AA048,VECT
CAMPO,20142,AA056,VECT
CANNELLE,20151,AA060,VECT
CARBINI,20170,AA061,VECT
CARBUCCIA,20133,AA062,VECT
CARDO-TORGIA,20190,AA064,IMAG
CARGESE,20130,AA065,VECT
CARGIACA,20164,AA066,VECT
CASAGLIONE,20111,AA070,VECT
CASALABRIVA,20140,AA071,IMAG
CAURO,20166,AA085,VECT
CIAMANNACCE,20134,AA089,VECT
COGGIA,20118,AA090,VECT
COGNOCOLI-MONTICCHI,20123,AA091,IMAG
CONCA,20144,AA092,VECT
CORRANO,20168,AA094,VECT
COTI-CHIAVARI,20138,AA098,VECT
COZZANO,20148,AA099,VECT
CRISTINACCE,20126,AA100,VECT
CUTTOLI-CORTICCHIATO,20167,AA103,VECT
ECCICA-SUARELLA,20117,AA104,VECT
EVISA,20126,AA108,VECT
FIGARI,20114,AA114,VECT
FOCE,20100,AA115,VECT
FORCIOLO,20190,AA117,IMAG
FOZZANO,20143,AA118,VECT
FRASSETO,20157,AA119,VECT
GIUNCHETTO,20100,AA127,VECT
GRANACE,20100,AA128,VECT
GROSSA,20100,AA129,VECT
GROSSETO-PRUGNA,20166,AA130,VECT
GUAGNO,20160,AA131,VECT
GUARGUALE,20128,AA132,IMAG
GUITERA LES BAINS,20153,AA133,VECT
LECCI,20137,AA139,VECT
LETIA,20160,AA141,VECT
LEVIE,20170,AA142,VECT
LOPIGNA,20139,AA144,VECT
LORETO-DI-TALLANO,20165,AA146,VECT
MARIGNANA,20141,AA154,VECT
MELA,20112,AA158,VECT
MOCA-CROCE,20140,AA160,IMAG
MONACIA-D AULLENE,20171,AA163,VECT
MURZO,20160,AA174,VECT
OCANA,20117,AA181,VECT
OLIVESE,20140,AA186,VECT
OLMETO,20113,AA189,VECT
OLMICCIA,20112,AA191,VECT
ORTO,20125,AA196,VECT
OSANI,20147,AA197,VECT
OTA,20150,AA198,VECT
PALNECA,20134,AA200,VECT
PARTINELLO,20147,AA203,VECT
PASTRICCIOLA,20121,AA204,VECT
PERI,20167,AA209,VECT
PETRETO-BICCHISANO,20140,AA211,IMAG
PIANA,20115,AA212,VECT
PIANOTTOLI CALDARELLO,20131,AA215,VECT
PIETROSELLA,20166,AA228,VECT
PILA CANALE,20123,AA232,IMAG
POGGIOLO,20125,AA240,VECT
PORTO VECCHIO,20137,AA247,VECT
PROPRIANO,20110,AA249,VECT
QUASQUARA,20142,AA253,VECT
QUENZA,20122,AA254,VECT
RENNO,20160,AA258,VECT
REZZA,20121,AA259,VECT
ROSAZIA,20121,AA262,VECT
SALICE,20121,AA266,VECT
SAMPOLO,20134,AA268,VECT
SAN-GAVINO-DI-CARBINI,20170,AA300,VECT
SANT ANDREA-D ORCINO,20151,AA295,VECT
SANTA MARIA SICHE,20190,AA312,VECT
SANTA-MARIA-FIGANIELLA,20143,AA310,VECT
SARI SOLENZARA,20144,AA269,VECT
SARI-D ORCINO,20151,AA270,VECT
SARROLA-CARCOPINO,20167,AA271,VECT
SARTENE,20100,AA272,VECT
SERRA-DI-FERRO,20140,AA276,VECT
SERRA-DI-SCOPAMENE,20127,AA278,IMAG
SERRIERA,20147,AA279,VECT
SOCCIA,20125,AA282,VECT
SOLLACARO,20140,AA284,IMAG
SORBOLLANO,20152,AA285,IMAG
SOTTA,20146,AA288,VECT
STE-LUCIE-DE-TALLANO,20112,AA308,VECT
TASSO,20134,AA322,VECT
TAVACO,20167,AA323,VECT
TAVERA,20163,AA324,VECT
TOLLA,20117,AA326,VECT
UCCIANI,20133,AA330,VECT
URBALACONE,20128,AA331,IMAG
VALLE-DI-MEZZANA,20167,AA336,VECT
VERO,20172,AA345,VECT
VICO,20118,AA348,VECT
VIGGIANELLO,20110,AA349,VECT
VILLANOVA,20167,AA351,VECT
ZERUBIA,20116,AA357,IMAG
ZEVACO,20173,AA358,VECT
ZICAVO,20132,AA359,VECT
ZIGLIARA,20190,AA360,IMAG
ZONZA,20144,AA362,VECT
ZOZA,20112,AA363,VECT
